month,paper_count,mention_count,share_pct,rolling_12m_pct,series_key,series_label,series_kind
2022-09-01,399,5,1.2531328320802004,0.9614684483998953,adjacent_top_100,adjacent 100,journal_cutoff
2022-10-01,327,1,0.3058103975535168,0.9869526481960217,adjacent_top_100,adjacent 100,journal_cutoff
2022-11-01,377,7,1.8567639257294428,1.1148876913101313,adjacent_top_100,adjacent 100,journal_cutoff
2022-12-01,336,7,2.083333333333333,1.1719486858711259,adjacent_top_100,adjacent 100,journal_cutoff
2023-01-01,354,8,2.2598870056497176,1.3071940467453327,adjacent_top_100,adjacent 100,journal_cutoff
2023-02-01,298,3,1.006711409395973,1.2618876977867284,adjacent_top_100,adjacent 100,journal_cutoff
2023-03-01,377,9,2.3872679045092835,1.4321898055221813,adjacent_top_100,adjacent 100,journal_cutoff
2023-04-01,320,9,2.8125,1.6100676303809385,adjacent_top_100,adjacent 100,journal_cutoff
2023-05-01,412,7,1.6990291262135921,1.649716591714232,adjacent_top_100,adjacent 100,journal_cutoff
2023-06-01,391,5,1.278772378516624,1.6552708555805165,adjacent_top_100,adjacent 100,journal_cutoff
2023-07-01,369,7,1.8970189701897018,1.6352930917003137,adjacent_top_100,adjacent 100,journal_cutoff
2023-08-01,385,4,1.0389610389610389,1.6565990268443687,adjacent_top_100,adjacent 100,journal_cutoff
2023-09-01,416,5,1.201923076923077,1.6523315472479416,adjacent_top_100,adjacent 100,journal_cutoff
2023-10-01,380,11,2.8947368421052633,1.8680754176272538,adjacent_top_100,adjacent 100,journal_cutoff
2023-11-01,443,8,1.805869074492099,1.863834180024142,adjacent_top_100,adjacent 100,journal_cutoff
2023-12-01,463,12,2.591792656587473,1.9062057902953204,adjacent_top_100,adjacent 100,journal_cutoff
2024-01-01,247,4,1.6194331983805668,1.8528346396895579,adjacent_top_100,adjacent 100,journal_cutoff
2024-02-01,122,1,0.819672131147541,1.837248033168855,adjacent_top_100,adjacent 100,journal_cutoff
2024-03-01,149,1,0.6711409395973155,1.6942374527595243,adjacent_top_100,adjacent 100,journal_cutoff
2024-04-01,128,3,2.34375,1.6551749527595243,adjacent_top_100,adjacent 100,journal_cutoff
2024-05-01,143,1,0.6993006993006993,1.5718642505167832,adjacent_top_100,adjacent 100,journal_cutoff
2024-06-01,135,1,0.7407407407407408,1.5270282807021263,adjacent_top_100,adjacent 100,journal_cutoff
2024-07-01,147,1,0.6802721088435374,1.4256327089232792,adjacent_top_100,adjacent 100,journal_cutoff
2024-08-01,126,3,2.380952380952381,1.5374653207558913,adjacent_top_100,adjacent 100,journal_cutoff
2024-09-01,124,2,1.6129032258064515,1.5717136664961726,adjacent_top_100,adjacent 100,journal_cutoff
2024-10-01,139,1,0.7194244604316548,1.3904376346900384,adjacent_top_100,adjacent 100,journal_cutoff
2024-11-01,155,2,1.2903225806451613,1.3474754268694602,adjacent_top_100,adjacent 100,journal_cutoff
2024-12-01,119,5,4.201680672268908,1.48163276150958,adjacent_top_100,adjacent 100,journal_cutoff
2025-01-01,157,3,1.910828025477707,1.5059156637676747,adjacent_top_100,adjacent 100,journal_cutoff
2025-02-01,104,3,2.8846153846153846,1.6779942682233286,adjacent_top_100,adjacent 100,journal_cutoff
2025-03-01,141,4,2.8368794326241136,1.8584724759755618,adjacent_top_100,adjacent 100,journal_cutoff
2025-04-01,146,2,1.36986301369863,1.777315227117114,adjacent_top_100,adjacent 100,journal_cutoff
2025-05-01,150,4,2.666666666666667,1.9412623910642781,adjacent_top_100,adjacent 100,journal_cutoff
2025-06-01,130,2,1.5384615384615385,2.007739124207678,adjacent_top_100,adjacent 100,journal_cutoff
2025-07-01,163,10,6.134969325153374,2.462297225566831,adjacent_top_100,adjacent 100,journal_cutoff
2025-08-01,137,6,4.37956204379562,2.6288480308037676,adjacent_top_100,adjacent 100,journal_cutoff
2025-09-01,153,9,5.88235294117647,2.9846355070846027,adjacent_top_100,adjacent 100,journal_cutoff
2025-10-01,156,7,4.487179487179487,3.2986150926469215,adjacent_top_100,adjacent 100,journal_cutoff
2025-11-01,145,5,3.4482758620689653,3.478444532765572,adjacent_top_100,adjacent 100,journal_cutoff
2025-12-01,131,11,8.396946564885496,3.8280500238169544,adjacent_top_100,adjacent 100,journal_cutoff
2026-01-01,136,5,3.6764705882352944,3.9751869040467533,adjacent_top_100,adjacent 100,journal_cutoff
2026-02-01,143,4,2.797202797202797,3.967902521762371,adjacent_top_100,adjacent 100,journal_cutoff
2026-03-01,16,0,0.0,3.7314959023770284,adjacent_top_100,adjacent 100,journal_cutoff
1976-01-01,51,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1976-02-01,38,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1976-03-01,45,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1976-04-01,28,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1976-05-01,30,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1976-06-01,30,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1976-07-01,24,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1976-08-01,31,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1976-09-01,29,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1976-10-01,38,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1976-11-01,31,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1976-12-01,38,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1977-01-01,46,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1977-02-01,23,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1977-03-01,34,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1977-04-01,23,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1977-05-01,24,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1977-06-01,35,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1977-07-01,31,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1977-08-01,24,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
