month,paper_count,mention_count,share_pct,rolling_12m_pct,series_key,series_label,series_kind
2008-03-01,23,0,0.0,0.0,development,Development,field
2008-04-01,13,0,0.0,0.0,development,Development,field
2008-05-01,17,0,0.0,0.0,development,Development,field
2008-06-01,13,0,0.0,0.0,development,Development,field
2008-07-01,19,0,0.0,0.0,development,Development,field
2008-08-01,20,0,0.0,0.0,development,Development,field
2008-09-01,23,0,0.0,0.0,development,Development,field
2008-10-01,16,0,0.0,0.0,development,Development,field
2008-11-01,16,0,0.0,0.0,development,Development,field
2008-12-01,13,1,7.6923076923076925,0.6410256410256411,development,Development,field
2009-01-01,23,0,0.0,0.6410256410256411,development,Development,field
2009-02-01,14,0,0.0,0.6410256410256411,development,Development,field
2009-03-01,25,0,0.0,0.6410256410256411,development,Development,field
2009-04-01,18,0,0.0,0.6410256410256411,development,Development,field
2009-05-01,25,0,0.0,0.6410256410256411,development,Development,field
2009-06-01,22,0,0.0,0.6410256410256411,development,Development,field
2009-07-01,25,0,0.0,0.6410256410256411,development,Development,field
2009-08-01,14,0,0.0,0.6410256410256411,development,Development,field
2009-09-01,20,0,0.0,0.6410256410256411,development,Development,field
2009-10-01,11,0,0.0,0.6410256410256411,development,Development,field
2009-11-01,28,0,0.0,0.6410256410256411,development,Development,field
2009-12-01,17,0,0.0,0.0,development,Development,field
2010-01-01,35,0,0.0,0.0,development,Development,field
2010-02-01,14,0,0.0,0.0,development,Development,field
2010-03-01,28,0,0.0,0.0,development,Development,field
2010-04-01,28,0,0.0,0.0,development,Development,field
2010-05-01,18,0,0.0,0.0,development,Development,field
2010-06-01,21,0,0.0,0.0,development,Development,field
2010-07-01,16,0,0.0,0.0,development,Development,field
2010-08-01,16,0,0.0,0.0,development,Development,field
2010-09-01,25,0,0.0,0.0,development,Development,field
2010-10-01,21,0,0.0,0.0,development,Development,field
2010-11-01,19,0,0.0,0.0,development,Development,field
2010-12-01,32,0,0.0,0.0,development,Development,field
2011-01-01,39,0,0.0,0.0,development,Development,field
2011-02-01,23,0,0.0,0.0,development,Development,field
2011-03-01,15,0,0.0,0.0,development,Development,field
2011-04-01,34,0,0.0,0.0,development,Development,field
2011-05-01,31,0,0.0,0.0,development,Development,field
2011-06-01,23,0,0.0,0.0,development,Development,field
2011-07-01,22,1,4.545454545454546,0.37878787878787884,development,Development,field
2011-08-01,24,0,0.0,0.37878787878787884,development,Development,field
2011-09-01,26,0,0.0,0.37878787878787884,development,Development,field
2011-10-01,23,0,0.0,0.37878787878787884,development,Development,field
2011-11-01,20,0,0.0,0.37878787878787884,development,Development,field
2011-12-01,22,0,0.0,0.37878787878787884,development,Development,field
2012-01-01,20,0,0.0,0.37878787878787884,development,Development,field
2012-02-01,19,0,0.0,0.37878787878787884,development,Development,field
2012-03-01,25,0,0.0,0.37878787878787884,development,Development,field
2012-04-01,23,0,0.0,0.37878787878787884,development,Development,field
2012-05-01,30,0,0.0,0.37878787878787884,development,Development,field
2012-06-01,23,1,4.3478260869565215,0.7411067193675889,development,Development,field
2012-07-01,26,0,0.0,0.36231884057971014,development,Development,field
2012-08-01,24,0,0.0,0.36231884057971014,development,Development,field
2012-09-01,23,0,0.0,0.36231884057971014,development,Development,field
2012-10-01,37,0,0.0,0.36231884057971014,development,Development,field
2012-11-01,35,0,0.0,0.36231884057971014,development,Development,field
2012-12-01,30,0,0.0,0.36231884057971014,development,Development,field
2013-01-01,37,0,0.0,0.36231884057971014,development,Development,field
2013-02-01,16,0,0.0,0.36231884057971014,development,Development,field
2013-03-01,21,0,0.0,0.36231884057971014,development,Development,field
2013-04-01,26,0,0.0,0.36231884057971014,development,Development,field
2013-05-01,18,0,0.0,0.36231884057971014,development,Development,field
2013-06-01,22,0,0.0,0.0,development,Development,field
2013-07-01,28,0,0.0,0.0,development,Development,field
2013-08-01,22,0,0.0,0.0,development,Development,field
2013-09-01,32,0,0.0,0.0,development,Development,field
2013-10-01,31,0,0.0,0.0,development,Development,field
2013-11-01,27,0,0.0,0.0,development,Development,field
2013-12-01,21,0,0.0,0.0,development,Development,field
2014-01-01,89,0,0.0,0.0,development,Development,field
2014-02-01,23,1,4.3478260869565215,0.36231884057971014,development,Development,field
2014-03-01,37,0,0.0,0.36231884057971014,development,Development,field
2014-04-01,21,0,0.0,0.36231884057971014,development,Development,field
2014-05-01,14,0,0.0,0.36231884057971014,development,Development,field
2014-06-01,23,0,0.0,0.36231884057971014,development,Development,field
2014-07-01,28,0,0.0,0.36231884057971014,development,Development,field
2014-08-01,19,0,0.0,0.36231884057971014,development,Development,field
2014-09-01,23,0,0.0,0.36231884057971014,development,Development,field
2014-10-01,33,0,0.0,0.36231884057971014,development,Development,field
2014-11-01,23,0,0.0,0.36231884057971014,development,Development,field
2014-12-01,30,0,0.0,0.36231884057971014,development,Development,field
2015-01-01,79,0,0.0,0.36231884057971014,development,Development,field
2015-02-01,26,0,0.0,0.0,development,Development,field
2015-03-01,26,0,0.0,0.0,development,Development,field
2015-04-01,29,0,0.0,0.0,development,Development,field
2015-05-01,25,0,0.0,0.0,development,Development,field
2015-06-01,15,0,0.0,0.0,development,Development,field
2015-07-01,29,0,0.0,0.0,development,Development,field
2015-08-01,20,0,0.0,0.0,development,Development,field
2015-09-01,21,0,0.0,0.0,development,Development,field
2015-10-01,32,0,0.0,0.0,development,Development,field
2015-11-01,24,0,0.0,0.0,development,Development,field
2015-12-01,29,0,0.0,0.0,development,Development,field
2016-01-01,47,0,0.0,0.0,development,Development,field
2016-02-01,26,0,0.0,0.0,development,Development,field
2016-03-01,32,0,0.0,0.0,development,Development,field
2016-04-01,22,0,0.0,0.0,development,Development,field
2016-05-01,37,0,0.0,0.0,development,Development,field
2016-06-01,35,0,0.0,0.0,development,Development,field
2016-07-01,35,1,2.857142857142857,0.2380952380952381,development,Development,field
2016-08-01,29,0,0.0,0.2380952380952381,development,Development,field
2016-09-01,23,0,0.0,0.2380952380952381,development,Development,field
2016-10-01,35,0,0.0,0.2380952380952381,development,Development,field
2016-11-01,37,0,0.0,0.2380952380952381,development,Development,field
2016-12-01,30,0,0.0,0.2380952380952381,development,Development,field
2017-01-01,35,0,0.0,0.2380952380952381,development,Development,field
2017-02-01,23,0,0.0,0.2380952380952381,development,Development,field
2017-03-01,36,0,0.0,0.2380952380952381,development,Development,field
2017-04-01,33,0,0.0,0.2380952380952381,development,Development,field
2017-05-01,32,0,0.0,0.2380952380952381,development,Development,field
2017-06-01,23,0,0.0,0.2380952380952381,development,Development,field
2017-07-01,21,0,0.0,0.0,development,Development,field
2017-08-01,28,0,0.0,0.0,development,Development,field
2017-09-01,32,0,0.0,0.0,development,Development,field
2017-10-01,25,0,0.0,0.0,development,Development,field
2017-11-01,19,0,0.0,0.0,development,Development,field
2017-12-01,28,0,0.0,0.0,development,Development,field
2018-01-01,26,1,3.8461538461538463,0.32051282051282054,development,Development,field
2018-02-01,31,0,0.0,0.32051282051282054,development,Development,field
2018-03-01,32,0,0.0,0.32051282051282054,development,Development,field
2018-04-01,37,0,0.0,0.32051282051282054,development,Development,field
2018-05-01,33,0,0.0,0.32051282051282054,development,Development,field
2018-06-01,29,0,0.0,0.32051282051282054,development,Development,field
2018-07-01,27,0,0.0,0.32051282051282054,development,Development,field
2018-08-01,43,0,0.0,0.32051282051282054,development,Development,field
2018-09-01,34,0,0.0,0.32051282051282054,development,Development,field
2018-10-01,39,0,0.0,0.32051282051282054,development,Development,field
2018-11-01,23,0,0.0,0.32051282051282054,development,Development,field
2018-12-01,31,0,0.0,0.32051282051282054,development,Development,field
2019-01-01,34,0,0.0,0.0,development,Development,field
2019-02-01,36,0,0.0,0.0,development,Development,field
2019-03-01,30,0,0.0,0.0,development,Development,field
2019-04-01,35,0,0.0,0.0,development,Development,field
2019-05-01,38,1,2.631578947368421,0.21929824561403508,development,Development,field
2019-06-01,40,0,0.0,0.21929824561403508,development,Development,field
2019-07-01,38,0,0.0,0.21929824561403508,development,Development,field
2019-08-01,37,0,0.0,0.21929824561403508,development,Development,field
2019-09-01,43,1,2.3255813953488373,0.41309669522643816,development,Development,field
2019-10-01,34,0,0.0,0.41309669522643816,development,Development,field
2019-11-01,38,0,0.0,0.41309669522643816,development,Development,field
2019-12-01,36,1,2.7777777777777777,0.6445781767079196,development,Development,field
2020-01-01,57,0,0.0,0.6445781767079196,development,Development,field
2020-02-01,37,0,0.0,0.6445781767079196,development,Development,field
2020-03-01,45,1,2.2222222222222223,0.829763361893105,development,Development,field
2020-04-01,50,0,0.0,0.829763361893105,development,Development,field
2020-05-01,46,0,0.0,0.6104651162790697,development,Development,field
2020-06-01,38,0,0.0,0.6104651162790699,development,Development,field
2020-07-01,54,0,0.0,0.6104651162790699,development,Development,field
2020-08-01,53,0,0.0,0.6104651162790699,development,Development,field
2020-09-01,49,0,0.0,0.4166666666666667,development,Development,field
2020-10-01,55,0,0.0,0.4166666666666667,development,Development,field
2020-11-01,37,0,0.0,0.4166666666666667,development,Development,field
