horizon,family,role,shortlist_count,mean_shortlist_penalty,route_path_share,route_mediator_share,pair_count,mean_supporting_path_count,mean_mediator_count,mean_recent_share,mean_fwci
5,stock prices,target_family,1,10.0,0.0,1.0,19,328.72912344910037,8.421052631578947,0.1454940282301846,6.595071045029736
5,stock returns,target_family,1,20.0,1.0,0.0,39,315.94698498429875,11.205128205128204,0.1845386533665835,7.5566478899556815
5,sustainable development,target_family,1,33.0,0.0,1.0,6,155.29525133877073,9.5,0.5044943820224719,9.244473715547423
5,technological innovation,target_family,3,10.333333333333334,0.3333333333333333,0.6666666666666666,5,176.81351497061115,7.2,0.7292759706190975,12.237872746628817
5,technological progress,target_family,1,40.0,1.0,0.0,3,278.7281766738286,8.0,0.3966789667896679,9.040703369357916
5,unemployment,target_family,2,36.0,1.0,0.0,44,362.32665783590505,16.681818181818183,0.1423149905123339,7.0852571215468965
5,urbanization,target_family,2,37.0,0.0,1.0,14,8142.10049499196,12.142857142857142,0.4799035369774919,13.184062099753694
5,willingness to pay,target_family,6,20.833333333333332,0.3333333333333333,0.6666666666666666,33,1692.173721633091,7.424242424242424,0.1524366471734893,6.148512204447913
10,airports,source_family,1,177.0,0.0,1.0,16,1195.872473096155,6.75,0.1570397111913357,5.69299325
10,capital,source_family,1,115.0,0.0,1.0,2,161.50586790434647,6.5,0.1814058956916099,7.745104347826088
10,carbon emissions,source_family,11,67.54545454545455,0.8181818181818182,0.18181818181818182,170,1292.1422047949197,16.54705882352941,0.46785895056521004,13.593994067634009
10,conservation reserve program,source_family,1,49.0,0.0,1.0,5,391.0688466836022,2.6,0.1462450592885375,4.669793591047813
10,covid 19 pandemic,source_family,1,14.0,1.0,0.0,16,908.3368553589794,13.125,0.6019032513877874,9.408504562737642
10,digital economy,source_family,2,37.0,1.0,0.0,2,312.45617763027496,14.5,0.9508599508599508,13.397565935747068
10,digital economy development,source_family,1,19.0,1.0,0.0,2,138.39806509844604,10.0,0.9588235294117649,9.48833515283843
